DEPTO,rural,mujer,etnia_negra,etnia_indigena,etnia_ninguna,gedad_15,gedad_20,gedad_25,gedad_30,gedad_35,gedad_40,gedad_45,gedad_50,gedad_55,gedad_60
ANTIOQUIA,0.204100021093283,0.512903011359376,0.0704192756087209,0.00649920872033321,0.923081515670946,0.127007543561272,0.134044118416646,0.129733365069568,0.111902475989336,0.09973807462036,0.0897717400071989,0.0971064205038371,0.0868898050925604,0.0736464137469365,0.0501600429922851
CALDAS,0.263076877800903,0.509932190985821,0.0283926244071146,0.0388982467679392,0.932709128824946,0.122709253500308,0.138177444015259,0.120107312970108,0.106130794371537,0.0929189374372188,0.0864362446358921,0.100817637751346,0.0909267611334047,0.0823623775645249,0.0594132366204017
CAQUETA,0.382272105239817,0.506722061129493,0.0197598419001682,0.0325420765922276,0.947698081507604,0.171462757852437,0.154229582491958,0.136002273494274,0.108203389943345,0.0964399433332384,0.0924489844674031,0.0770808455576242,0.0758747507427743,0.0514553182335468,0.0368021538833989
HUILA,0.384482906900818,0.501631186732897,0.0216992031724128,0.0374527400620777,0.940848056765509,0.149201758107215,0.147255143551206,0.133130791895799,0.115228148885589,0.0964036629546813,0.0873698571950309,0.0823746495232943,0.0793954235186946,0.0691144364385546,0.0405261279299346
QUINDIO,0.112939898896661,0.512982934311628,0.0749115111656102,0.0140615799785359,0.911026908855854,0.130246466049364,0.140820897823628,0.106261557786931,0.105513056724834,0.0941752625425209,0.085503952452387,0.101379130187428,0.0870400505122749,0.0904480804479704,0.0586115454726621
RISARALDA,0.201763253156961,0.519409011215162,0.0377510259887859,0.0239389896679814,0.938309984343233,0.130854332672724,0.130138654565836,0.111406734190034,0.109316599874154,0.102303181834495,0.0884444834276294,0.0974730712680007,0.0896769858954449,0.0901022866066853,0.0502836696649964
TOLIMA,0.293714365507389,0.501925064343024,0.00442574413186675,0.0862499137366931,0.90932434213144,0.146954923568026,0.138214977470332,0.120459320441742,0.0943309409772154,0.0836646684023688,0.09280695991244,0.0945239442334067,0.0911766497842841,0.0833142425984726,0.0545533726117124
CAUCA,0.587223027894742,0.494731916467512,0.176502564668739,0.0714743389466178,0.752023096384643,0.153431217464947,0.14502827085292,0.123813139858425,0.118955825744845,0.104510209935333,0.0843394761932031,0.0886749791498187,0.0713248940841327,0.0659273669173068,0.0439946197990686
CHOCO,0.488304255769096,0.499796616909268,0.849247761089967,0.0378285261400065,0.112923712770027,0.179481747804895,0.180791221318974,0.166343037941787,0.110584748102878,0.0795608698647031,0.0707704310074274,0.0678625844715667,0.0542802705858381,0.0574299420496063,0.0328951468523236
NARI-O,0.485676085441732,0.498881904808293,0.192559649059684,0.22147332208408,0.585967028856237,0.152453190178346,0.126737136168858,0.132314288790053,0.126043627575026,0.104504169022096,0.0937685920808791,0.0900349253776665,0.0759340774266794,0.0586347168223039,0.0395752765580916
VALLE DEL CAUCA,0.11672286365228,0.517171306654166,0.183510837327218,0.00382695786559982,0.812662204807182,0.125129250175037,0.132521456987624,0.122176643981259,0.113105750293914,0.101163681889197,0.0987196926527293,0.0972976911823702,0.086991489512515,0.0770059180323059,0.0458884252930481
